qualifying_groups,m74,m77,m79,m80,m81,m82,m85,m87
ABDHIJKL,D,H,I,K,B,A,J,L
ABEFGHIJ,F,G,H,I,B,A,J,E
ABEFGHIK,F,H,E,K,B,A,G,I
ABEFGHIL,F,H,E,I,B,A,G,L
ABEFGHJK,F,G,H,K,B,A,J,E
ABEFGHJL,F,G,H,E,B,A,J,L
ABEFGHKL,F,H,E,K,B,A,G,L
ABEFGIJK,F,G,E,K,B,A,J,I
ABEFGIJL,F,G,E,I,B,A,J,L
ABEFGIKL,A,F,E,K,B,I,G,L
ABEFGJKL,F,G,E,K,B,A,J,L
ABEFHIJK,F,H,E,K,B,A,J,I
ABEFHIJL,F,H,E,I,B,A,J,L
ABEFHIKL,F,H,E,K,B,A,I,L
ABEFHJKL,F,H,E,K,B,A,J,L
ABEFIJKL,A,F,E,K,B,I,J,L
ABEGHIJK,A,G,E,K,B,H,J,I
ABEGHIJL,A,G,E,I,B,H,J,L
ABEGHIKL,A,H,E,K,B,I,G,L
ABEGHJKL,A,G,E,K,B,H,J,L
ABEGIJKL,A,G,E,K,B,I,J,L
ABEHIJKL,A,H,E,K,B,I,J,L
ABFGHIJK,F,G,H,K,B,A,J,I
ABFGHIJL,F,G,H,I,B,A,J,L
ABFGHIKL,A,F,H,K,B,I,G,L
ABFGHJKL,F,G,H,K,B,A,J,L
ABFGIJKL,F,G,I,K,B,A,J,L
ABFHIJKL,A,F,H,K,B,I,J,L
ABGHIJKL,A,G,H,K,B,I,J,L
ACDEFGHI,C,F,H,I,E,A,G,D
ACDEFGHJ,C,F,H,E,J,A,G,D
ACDEFGHK,C,F,H,K,E,A,G,D
ACDEFGHL,C,D,H,E,F,A,G,L
ACDEFGIJ,D,F,C,I,J,A,G,E
ACDEFGIK,D,F,C,K,E,A,G,I
ACDEFGIL,D,F,C,I,E,A,G,L
ACDEFGJK,D,F,C,K,J,A,G,E
ACDEFGJL,D,F,C,E,J,A,G,L
ACDEFGKL,D,F,C,K,E,A,G,L
ACDEFHIJ,C,F,H,I,E,A,J,D
ACDEFHIK,C,D,H,K,F,A,E,I
ACDEFHIL,C,D,H,I,F,A,E,L
ACDEFHJK,C,F,H,K,E,A,J,D
ACDEFHJL,C,D,H,E,F,A,J,L
ACDEFHKL,C,D,H,K,F,A,E,L
ACDEFIJK,D,F,C,K,E,A,J,I
ACDEFIJL,D,F,C,I,E,A,J,L
ACDEFIKL,D,F,C,K,I,A,E,L
ACDEFJKL,D,F,C,K,E,A,J,L
ACDEGHIJ,C,D,H,I,J,A,G,E
ACDEGHIK,C,D,H,K,E,A,G,I
ACDEGHIL,C,D,H,I,E,A,G,L
ACDEGHJK,C,D,H,K,J,A,G,E
ACDEGHJL,C,D,H,E,J,A,G,L
ACDEGHKL,C,D,H,K,E,A,G,L
ACDEGIJK,C,D,E,K,J,A,G,I
ACDEGIJL,C,D,E,I,J,A,G,L
ACDEGIKL,C,D,E,K,I,A,G,L
ACDEGJKL,C,D,E,K,J,A,G,L
ACDEHIJK,C,D,H,K,E,A,J,I
ACDEHIJL,C,D,H,I,E,A,J,L
ACDEHIKL,C,D,H,K,I,A,E,L
ACDEHJKL,C,D,H,K,E,A,J,L
ACDEIJKL,C,D,E,K,I,A,J,L
ACDFGHIJ,C,F,H,I,J,A,G,D
ACDFGHIK,C,D,H,K,F,A,G,I
ACDFGHIL,C,D,H,I,F,A,G,L
ACDFGHJK,C,F,H,K,J,A,G,D
ACDFGHJL,D,F,C,H,J,A,G,L
ACDFGHKL,C,D,H,K,F,A,G,L
ACDFGIJK,D,F,C,K,J,A,G,I
ACDFGIJL,D,F,C,I,J,A,G,L
ACDFGIKL,D,F,C,K,I,A,G,L
ACDFGJKL,D,F,C,K,J,A,G,L
ACDFHIJK,C,D,H,K,F,A,J,I
ACDFHIJL,C,D,H,I,F,A,J,L
ACDFHIKL,C,D,H,K,I,A,F,L
ACDFHJKL,C,D,H,K,F,A,J,L
ACDFIJKL,D,F,C,K,I,A,J,L
ACDGHIJK,C,D,H,K,J,A,G,I
ACDGHIJL,C,D,H,I,J,A,G,L
ACDGHIKL,C,D,H,K,I,A,G,L
ACDGHJKL,C,D,H,K,J,A,G,L
ACDGIJKL,C,D,I,K,J,A,G,L
ACDHIJKL,C,D,H,K,I,A,J,L
ACEFGHIJ,C,F,H,I,J,A,G,E
ACEFGHIK,C,F,H,K,E,A,G,I
ACEFGHIL,C,F,H,I,E,A,G,L
ACEFGHJK,C,F,H,K,J,A,G,E
ACEFGHJL,C,F,H,E,J,A,G,L
ACEFGHKL,C,F,H,K,E,A,G,L
ACEFGIJK,C,F,E,K,J,A,G,I
ACEFGIJL,C,F,E,I,J,A,G,L
ACEFGIKL,C,F,E,K,I,A,G,L
ACEFGJKL,C,F,E,K,J,A,G,L
ACEFHIJK,C,F,H,K,E,A,J,I
ACEFHIJL,C,F,H,I,E,A,J,L
ACEFHIKL,C,F,H,K,I,A,E,L
ACEFHJKL,C,F,H,K,E,A,J,L
ACEFIJKL,C,F,E,K,I,A,J,L
ACEGHIJK,C,H,E,K,J,A,G,I
ACEGHIJL,C,H,E,I,J,A,G,L
ACEGHIKL,C,H,E,K,I,A,G,L
ACEGHJKL,C,H,E,K,J,A,G,L
ACEGIJKL,C,G,E,K,I,A,J,L
ACEHIJKL,C,H,E,K,I,A,J,L
ACFGHIJK,C,F,H,K,J,A,G,I
ACFGHIJL,C,F,H,I,J,A,G,L
ACFGHIKL,C,F,H,K,I,A,G,L
ACFGHJKL,C,F,H,K,J,A,G,L
ACFGIJKL,C,F,I,K,J,A,G,L
ACFHIJKL,C,F,H,K,I,A,J,L
ACGHIJKL,C,G,H,K,I,A,J,L
ADEFGHIJ,D,F,H,I,J,A,G,E
ADEFGHIK,D,F,H,K,E,A,G,I
ADEFGHIL,D,F,H,I,E,A,G,L
ADEFGHJK,D,F,H,K,J,A,G,E
ADEFGHJL,D,F,H,E,J,A,G,L
ADEFGHKL,D,F,H,K,E,A,G,L
ADEFGIJK,D,F,E,K,J,A,G,I
ADEFGIJL,D,F,E,I,J,A,G,L
ADEFGIKL,D,F,E,K,I,A,G,L
ADEFGJKL,D,F,E,K,J,A,G,L
ADEFHIJK,D,F,H,K,E,A,J,I
ADEFHIJL,D,F,H,I,E,A,J,L
ADEFHIKL,D,F,H,K,I,A,E,L
ADEFHJKL,D,F,H,K,E,A,J,L
ADEFIJKL,D,F,E,K,I,A,J,L
ADEGHIJK,D,H,E,K,J,A,G,I
ADEGHIJL,D,H,E,I,J,A,G,L
ADEGHIKL,D,H,E,K,I,A,G,L
ADEGHJKL,D,H,E,K,J,A,G,L
ADEGIJKL,D,G,E,K,I,A,J,L
ADEHIJKL,D,H,E,K,I,A,J,L
ADFGHIJK,D,F,H,K,J,A,G,I
ADFGHIJL,D,F,H,I,J,A,G,L
ADFGHIKL,D,F,H,K,I,A,G,L
ADFGHJKL,D,F,H,K,J,A,G,L
ADFGIJKL,D,F,I,K,J,A,G,L
ADFHIJKL,D,F,H,K,I,A,J,L
ADGHIJKL,D,G,H,K,I,A,J,L
AEFGHIJK,F,H,E,K,J,A,G,I
AEFGHIJL,F,H,E,I,J,A,G,L
AEFGHIKL,F,H,E,K,I,A,G,L
AEFGHJKL,F,H,E,K,J,A,G,L
AEFGIJKL,F,G,E,K,I,A,J,L
AEFHIJKL,F,H,E,K,I,A,J,L
AEGHIJKL,A,G,E,K,I,H,J,L
AFGHIJKL,F,G,H,K,I,A,J,L
BCDEFGHI,D,F,C,I,B,H,G,E
BCDEFGHJ,C,F,H,E,B,J,G,D
BCDEFGHK,D,F,C,K,B,H,G,E
BCDEFGHL,D,F,C,E,B,H,G,L
BCDEFGIJ,D,F,C,I,B,J,G,E
BCDEFGIK,D,F,C,K,B,E,G,I
BCDEFGIL,D,F,C,I,B,E,G,L
BCDEFGJK,D,F,C,K,B,J,G,E
BCDEFGJL,D,F,C,E,B,J,G,L
BCDEFGKL,D,F,C,K,B,E,G,L
BCDEFHIJ,D,F,C,I,B,H,J,E
BCDEFHIK,D,F,C,K,B,H,E,I
BCDEFHIL,D,F,C,I,B,H,E,L
BCDEFHJK,D,F,C,K,B,H,J,E
BCDEFHJL,D,F,C,E,B,H,J,L
BCDEFHKL,D,F,C,K,B,H,E,L
BCDEFIJK,D,F,C,K,B,E,J,I
BCDEFIJL,D,F,C,I,B,E,J,L
BCDEFIKL,D,F,C,K,B,I,E,L
BCDEFJKL,D,F,C,K,B,E,J,L
BCDEGHIJ,C,D,H,I,B,J,G,E
BCDEGHIK,C,D,E,K,B,H,G,I
BCDEGHIL,C,D,E,I,B,H,G,L
BCDEGHJK,C,D,H,K,B,J,G,E
BCDEGHJL,C,D,H,E,B,J,G,L
BCDEGHKL,C,D,E,K,B,H,G,L
BCDEGIJK,C,D,E,K,B,J,G,I
BCDEGIJL,C,D,E,I,B,J,G,L
BCDEGIKL,C,D,E,K,B,I,G,L
BCDEGJKL,C,D,E,K,B,J,G,L
BCDEHIJK,C,D,E,K,B,H,J,I
BCDEHIJL,C,D,E,I,B,H,J,L
BCDEHIKL,C,D,E,K,B,H,I,L
BCDEHJKL,C,D,E,K,B,H,J,L
BCDEIJKL,C,D,E,K,B,I,J,L
BCDFGHIJ,C,F,H,I,B,J,G,D
BCDFGHIK,D,F,C,K,B,H,G,I
BCDFGHIL,D,F,C,I,B,H,G,L
BCDFGHJK,C,F,H,K,B,J,G,D
BCDFGHJL,D,F,C,J,B,H,G,L
BCDFGHKL,D,F,C,K,B,H,G,L
BCDFGIJK,D,F,C,K,B,J,G,I
BCDFGIJL,D,F,C,I,B,J,G,L
BCDFGIKL,D,F,C,K,B,I,G,L
BCDFGJKL,D,F,C,K,B,J,G,L
BCDFHIJK,D,F,C,K,B,H,J,I
BCDFHIJL,D,F,C,I,B,H,J,L
BCDFHIKL,D,F,C,K,B,H,I,L
BCDFHJKL,D,F,C,K,B,H,J,L
BCDFIJKL,D,F,C,K,B,I,J,L
BCDGHIJK,C,D,H,K,B,J,G,I
BCDGHIJL,C,D,H,I,B,J,G,L
BCDGHIKL,C,D,H,K,B,I,G,L
BCDGHJKL,C,D,H,K,B,J,G,L
BCDGIJKL,C,D,I,K,B,J,G,L
BCDHIJKL,C,D,H,K,B,I,J,L
BCEFGHIJ,C,F,H,I,B,J,G,E
BCEFGHIK,C,F,E,K,B,H,G,I
BCEFGHIL,C,F,E,I,B,H,G,L
BCEFGHJK,C,F,H,K,B,J,G,E
BCEFGHJL,C,F,H,E,B,J,G,L
BCEFGHKL,C,F,E,K,B,H,G,L
BCEFGIJK,C,F,E,K,B,J,G,I
BCEFGIJL,C,F,E,I,B,J,G,L
BCEFGIKL,C,F,E,K,B,I,G,L
BCEFGJKL,C,F,E,K,B,J,G,L
BCEFHIJK,C,F,E,K,B,H,J,I
BCEFHIJL,C,F,E,I,B,H,J,L
BCEFHIKL,C,F,E,K,B,H,I,L
BCEFHJKL,C,F,E,K,B,H,J,L
BCEFIJKL,C,F,E,K,B,I,J,L
BCEGHIJK,C,G,E,K,B,H,J,I
BCEGHIJL,C,G,E,I,B,H,J,L
BCEGHIKL,C,H,E,K,B,I,G,L
BCEGHJKL,C,G,E,K,B,H,J,L
BCEGIJKL,C,G,E,K,B,I,J,L
BCEHIJKL,C,H,E,K,B,I,J,L
BCFGHIJK,C,F,H,K,B,J,G,I
BCFGHIJL,C,F,H,I,B,J,G,L
BCFGHIKL,C,F,H,K,B,I,G,L
BCFGHJKL,C,F,H,K,B,J,G,L
BCFGIJKL,C,F,I,K,B,J,G,L
BCFHIJKL,C,F,H,K,B,I,J,L
BCGHIJKL,C,G,H,K,B,I,J,L
BDEFGHIJ,D,F,H,I,B,J,G,E
BDEFGHIK,D,F,E,K,B,H,G,I
BDEFGHIL,D,F,E,I,B,H,G,L
BDEFGHJK,D,F,H,K,B,J,G,E
BDEFGHJL,D,F,H,E,B,J,G,L
BDEFGHKL,D,F,E,K,B,H,G,L
BDEFGIJK,D,F,E,K,B,J,G,I
BDEFGIJL,D,F,E,I,B,J,G,L
BDEFGIKL,D,F,E,K,B,I,G,L
BDEFGJKL,D,F,E,K,B,J,G,L
BDEFHIJK,D,F,E,K,B,H,J,I
BDEFHIJL,D,F,E,I,B,H,J,L
BDEFHIKL,D,F,E,K,B,H,I,L
BDEFHJKL,D,F,E,K,B,H,J,L
BDEFIJKL,D,F,E,K,B,I,J,L
BDEGHIJK,D,G,E,K,B,H,J,I
BDEGHIJL,D,G,E,I,B,H,J,L
BDEGHIKL,D,H,E,K,B,I,G,L
BDEGHJKL,D,G,E,K,B,H,J,L
BDEGIJKL,D,G,E,K,B,I,J,L
BDEHIJKL,D,H,E,K,B,I,J,L
BDFGHIJK,D,F,H,K,B,J,G,I
BDFGHIJL,D,F,H,I,B,J,G,L
BDFGHIKL,D,F,H,K,B,I,G,L
BDFGHJKL,D,F,H,K,B,J,G,L
BDFGIJKL,D,F,I,K,B,J,G,L
BDFHIJKL,D,F,H,K,B,I,J,L
BDGHIJKL,D,G,H,K,B,I,J,L
BEFGHIJK,F,G,E,K,B,H,J,I
BEFGHIJL,F,G,E,I,B,H,J,L
BEFGHIKL,F,H,E,K,B,I,G,L
BEFGHJKL,F,G,E,K,B,H,J,L
BEFGIJKL,F,G,E,K,B,I,J,L
BEFHIJKL,F,H,E,K,B,I,J,L
BEGHIJKL,B,G,E,K,I,H,J,L
BFGHIJKL,F,G,H,K,B,I,J,L
CDEFGHIJ,D,F,C,I,J,H,G,E
CDEFGHIK,D,F,C,K,E,H,G,I
CDEFGHIL,D,F,C,I,E,H,G,L
CDEFGHJK,D,F,C,K,J,H,G,E
CDEFGHJL,D,F,C,E,J,H,G,L
CDEFGHKL,D,F,C,K,E,H,G,L
CDEFGIJK,D,F,C,K,E,J,G,I
CDEFGIJL,D,F,C,I,E,J,G,L
CDEFGIKL,D,F,C,K,E,I,G,L
CDEFGJKL,D,F,C,K,E,J,G,L
CDEFHIJK,D,F,C,K,E,H,J,I
CDEFHIJL,D,F,C,I,E,H,J,L
CDEFHIKL,D,F,C,K,I,H,E,L
CDEFHJKL,D,F,C,K,E,H,J,L
CDEFIJKL,D,F,C,K,E,I,J,L
CDEGHIJK,C,D,E,K,J,H,G,I
CDEGHIJL,C,D,E,I,J,H,G,L
CDEGHIKL,C,D,E,K,I,H,G,L
CDEGHJKL,C,D,E,K,J,H,G,L
CDEGIJKL,C,D,E,K,I,J,G,L
CDEHIJKL,C,D,E,K,I,H,J,L
CDFGHIJK,D,F,C,K,J,H,G,I
CDFGHIJL,D,F,C,I,J,H,G,L
CDFGHIKL,D,F,C,K,I,H,G,L
CDFGHJKL,D,F,C,K,J,H,G,L
CDFGIJKL,D,F,C,K,I,J,G,L
CDFHIJKL,D,F,C,K,I,H,J,L
CDGHIJKL,C,D,H,K,I,J,G,L
CEFGHIJK,C,F,E,K,J,H,G,I
CEFGHIJL,C,F,E,I,J,H,G,L
CEFGHIKL,C,F,E,K,I,H,G,L
CEFGHJKL,C,F,E,K,J,H,G,L
CEFGIJKL,C,F,E,K,I,J,G,L
CEFHIJKL,C,F,E,K,I,H,J,L
CEGHIJKL,C,G,E,K,I,H,J,L
CFGHIJKL,C,F,H,K,I,J,G,L
DEFGHIJK,D,F,E,K,J,H,G,I
DEFGHIJL,D,F,E,I,J,H,G,L
DEFGHIKL,D,F,E,K,I,H,G,L
DEFGHJKL,D,F,E,K,J,H,G,L
DEFGIJKL,D,F,E,K,I,J,G,L
DEFHIJKL,D,F,E,K,I,H,J,L
DEGHIJKL,D,G,E,K,I,H,J,L
DFGHIJKL,D,F,H,K,I,J,G,L
EFGHIJKL,F,G,E,K,I,H,J,L
