team_id,team_name,fifa_code,flag_code,confederation_id,fifa_rank,rank_snapshot_date,final_status,qualified_for_world_cup,final_stage_reached,qualification_or_elimination_summary,source_name,source_url
caf_ken,Kenya,KEN,KE,CAF,105,2023-06-30,eliminated,FALSE,First round Group F,Finished fourth in Group F and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_cgo,Congo,CGO,CG,CAF,106,2023-06-30,eliminated,FALSE,First round Group E,Finished fifth in Group E; qualification affected by a temporary FIFA suspension and forfeits.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_mad,Madagascar,MAD,MG,CAF,107,2023-06-30,eliminated,FALSE,Runners-up ranking,"Finished second in Group I but seventh in runners-up ranking, missing the CAF playoff.",Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_gnb,Guinea-Bissau,GNB,GW,CAF,111,2023-06-30,eliminated,FALSE,First round Group A,Finished fourth in Group A and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_nam,Namibia,NAM,NA,CAF,112,2023-06-30,eliminated,FALSE,Runners-up ranking,"Finished second in Group H but ninth in runners-up ranking, missing the CAF playoff.",Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_ang,Angola,ANG,AO,CAF,114,2023-06-30,eliminated,FALSE,First round Group D,Finished fourth in Group D and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_moz,Mozambique,MOZ,MZ,CAF,117,2023-06-30,eliminated,FALSE,First round Group G,Finished third in Group G and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_gam,Gambia,GAM,GM,CAF,119,2023-06-30,eliminated,FALSE,First round Group F,Finished third in Group F and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_sle,Sierra Leone,SLE,SL,CAF,120,2023-06-30,eliminated,FALSE,First round Group A,Finished third in Group A and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_tog,Togo,TOG,TG,CAF,122,2023-06-30,eliminated,FALSE,First round Group B,Finished fourth in Group B and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_tan,Tanzania,TAN,TZ,CAF,123,2023-06-30,eliminated,FALSE,First round Group E,Finished third in Group E and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_zim,Zimbabwe,ZIM,ZW,CAF,124,2023-06-30,eliminated,FALSE,First round Group C,Finished sixth in Group C and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_cta,Central African Republic,CTA,CF,CAF,125,2023-06-30,eliminated,FALSE,First round Group I,Finished fifth in Group I and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_mwi,Malawi,MWI,MW,CAF,126,2023-06-30,eliminated,FALSE,First round Group H,Finished fourth in Group H and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_lby,Libya,LBY,LY,CAF,127,2023-06-30,eliminated,FALSE,First round Group D,Finished third in Group D and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_nig,Niger,NIG,NE,CAF,128,2023-06-30,eliminated,FALSE,Runners-up ranking,"Finished second in Group E but sixth in runners-up ranking, missing the CAF playoff.",Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_com,Comoros,COM,KM,CAF,130,2023-06-30,eliminated,FALSE,First round Group I,Finished fourth in Group I and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_sdn,Sudan,SDN,SD,CAF,131,2023-06-30,eliminated,FALSE,First round Group B,Finished third in Group B and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_rwa,Rwanda,RWA,RW,CAF,139,2023-06-30,eliminated,FALSE,First round Group C,Finished fifth in Group C and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_bdi,Burundi,BDI,BI,CAF,140,2023-06-30,eliminated,FALSE,First round Group F,Finished fifth in Group F and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_eth,Ethiopia,ETH,ET,CAF,143,2023-06-30,eliminated,FALSE,First round Group A,Finished fifth in Group A and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_swz,Eswatini,SWZ,SZ,CAF,146,2023-06-30,eliminated,FALSE,First round Group D,Finished sixth in Group D and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_bot,Botswana,BOT,BW,CAF,147,2023-06-30,eliminated,FALSE,First round Group G,Finished fifth in Group G and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_lbr,Liberia,LBR,LR,CAF,148,2023-06-30,eliminated,FALSE,First round Group H,Finished third in Group H and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_les,Lesotho,LES,LS,CAF,152,2023-06-30,eliminated,FALSE,First round Group C,Finished fourth in Group C and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_ssd,South Sudan,SSD,SS,CAF,168,2023-06-30,eliminated,FALSE,First round Group B,Finished sixth in Group B and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_mri,Mauritius,MRI,MU,CAF,180,2023-06-30,eliminated,FALSE,First round Group D,Finished fifth in Group D and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_cha,Chad,CHA,TD,CAF,181,2023-06-30,eliminated,FALSE,First round Group I,Finished sixth in Group I and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_stp,São Tomé and Príncipe,STP,ST,CAF,187,2023-06-30,eliminated,FALSE,First round Group H,Finished sixth in Group H and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_dji,Djibouti,DJI,DJ,CAF,193,2023-06-30,eliminated,FALSE,First round Group A,Finished sixth in Group A and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_sey,Seychelles,SEY,SC,CAF,196,2023-06-30,eliminated,FALSE,First round Group F,Finished sixth in Group F and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_eri,Eritrea,ERI,ER,CAF,198,2023-06-30,withdrew,FALSE,Withdrew after draw,Withdrew from qualification after the draw.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_som,Somalia,SOM,SO,CAF,199,2023-06-30,eliminated,FALSE,First round Group G,Finished sixth in Group G and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
