"elimination_id","confederation_id","round_id","team_id","team_name","fifa_code","flag_code","fifa_rank","rank_snapshot_date","elimination_reason","final_position","notes","source_name","source_url"
"AFC_R2_IND","AFC","AFC_R2","IND","India","IND","IN","99","2023-07-20","Finished 3 in Round 2 Group A","3","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R2_AFG","AFC","AFC_R2","AFG","Afghanistan","AFG","AF","157","2023-07-20","Finished 4 in Round 2 Group A","4","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R2_SYR","AFC","AFC_R2","SYR","Syria","SYR","SY","94","2023-07-20","Finished 3 in Round 2 Group B","3","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R2_MYA","AFC","AFC_R2","MYA","Myanmar","MYA","MM","160","2023-07-20","Finished 4 in Round 2 Group B","4","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R2_THA","AFC","AFC_R2","THA","Thailand","THA","TH","113","2023-07-20","Finished 3 in Round 2 Group C","3","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R2_SIN","AFC","AFC_R2","SIN","Singapore","SIN","SG","158","2023-07-20","Finished 4 in Round 2 Group C","4","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R2_MAS","AFC","AFC_R2","MAS","Malaysia","MAS","MY","136","2023-07-20","Finished 3 in Round 2 Group D","3","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R2_TPE","AFC","AFC_R2","TPE","Chinese Taipei","TPE","TW","153","2023-07-20","Finished 4 in Round 2 Group D","4","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R2_TKM","AFC","AFC_R2","TKM","Turkmenistan","TKM","TM","138","2023-07-20","Finished 3 in Round 2 Group E","3","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R2_HKG","AFC","AFC_R2","HKG","Hong Kong","HKG","HK","149","2023-07-20","Finished 4 in Round 2 Group E","4","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R2_VIE","AFC","AFC_R2","VIE","Vietnam","VIE","VN","95","2023-07-20","Finished 3 in Round 2 Group F","3","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R2_PHI","AFC","AFC_R2","PHI","Philippines","PHI","PH","135","2023-07-20","Finished 4 in Round 2 Group F","4","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R2_TJK","AFC","AFC_R2","TJK","Tajikistan","TJK","TJ","110","2023-07-20","Finished 3 in Round 2 Group G","3","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R2_PAK","AFC","AFC_R2","PAK","Pakistan","PAK","PK","201","2023-07-20","Finished 4 in Round 2 Group G","4","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R2_YEM","AFC","AFC_R2","YEM","Yemen","YEM","YE","156","2023-07-20","Finished 3 in Round 2 Group H","3","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R2_NEP","AFC","AFC_R2","NEP","Nepal","NEP","NP","175","2023-07-20","Finished 4 in Round 2 Group H","4","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R2_LBN","AFC","AFC_R2","LBN","Lebanon","LBN","LB","100","2023-07-20","Finished 3 in Round 2 Group I","3","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R2_BAN","AFC","AFC_R2","BAN","Bangladesh","BAN","BD","189","2023-07-20","Finished 4 in Round 2 Group I","4","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R3_KGZ","AFC","AFC_R3","KGZ","Kyrgyzstan","KGZ","KG","97","2023-07-20","Finished 5 in Round 3 Group A","5","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R3_PRK","AFC","AFC_R3","PRK","North Korea","PRK","KP","115","2023-07-20","Finished 6 in Round 3 Group A","6","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R3_PLE","AFC","AFC_R3","PLE","Palestine","PLE","PS","96","2023-07-20","Finished 5 in Round 3 Group B","5","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R3_KUW","AFC","AFC_R3","KUW","Kuwait","KUW","KW","137","2023-07-20","Finished 6 in Round 3 Group B","6","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R3_CHN","AFC","AFC_R3","CHN","China","CHN","CN","80","2023-07-20","Finished 5 in Round 3 Group C","5","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R3_BHR","AFC","AFC_R3","BHR","Bahrain","BHR","BH","86","2023-07-20","Finished 6 in Round 3 Group C","6","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R4_OMA","AFC","AFC_R4","OMA","Oman","OMA","OM","73","2023-07-20","Finished 3 in Round 4 Group A","3","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R4_IDN","AFC","AFC_R4","IDN","Indonesia","IDN","ID","150","2023-07-20","Finished 3 in Round 4 Group B","3","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R5_UAE","AFC","AFC_R5","UAE","United Arab Emirates","UAE","AE","72","2023-07-20","Lost AFC fifth round playoff 3-2 on aggregate to Iraq","Runner-up of AFC fifth round","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"caf_elim_r1_bfa","CAF","caf_2026_first_round","caf_bfa","Burkina Faso","BFA","BF","55","2023-06-30","Runner-up; fifth in runners-up ranking, missed CAF playoff.","Group A, position 2","Runner-up; fifth in runners-up ranking, missed CAF playoff.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_sle","CAF","caf_2026_first_round","caf_sle","Sierra Leone","SLE","SL","120","2023-06-30","Eliminated in first round.","Group A, position 3","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_gnb","CAF","caf_2026_first_round","caf_gnb","Guinea-Bissau","GNB","GW","111","2023-06-30","Eliminated in first round.","Group A, position 4","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_eth","CAF","caf_2026_first_round","caf_eth","Ethiopia","ETH","ET","143","2023-06-30","Eliminated in first round.","Group A, position 5","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_dji","CAF","caf_2026_first_round","caf_dji","Djibouti","DJI","DJ","193","2023-06-30","Eliminated in first round.","Group A, position 6","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_sdn","CAF","caf_2026_first_round","caf_sdn","Sudan","SDN","SD","131","2023-06-30","Eliminated in first round.","Group B, position 3","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_tog","CAF","caf_2026_first_round","caf_tog","Togo","TOG","TG","122","2023-06-30","Eliminated in first round.","Group B, position 4","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_mtn","CAF","caf_2026_first_round","caf_mtn","Mauritania","MTN","MR","99","2023-06-30","Eliminated in first round.","Group B, position 5","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_ssd","CAF","caf_2026_first_round","caf_ssd","South Sudan","SSD","SS","168","2023-06-30","Eliminated in first round.","Group B, position 6","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_ben","CAF","caf_2026_first_round","caf_ben","Benin","BEN","BJ","93","2023-06-30","Eliminated in first round.","Group C, position 3","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_les","CAF","caf_2026_first_round","caf_les","Lesotho","LES","LS","152","2023-06-30","Eliminated in first round.","Group C, position 4","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_rwa","CAF","caf_2026_first_round","caf_rwa","Rwanda","RWA","RW","139","2023-06-30","Eliminated in first round.","Group C, position 5","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_zim","CAF","caf_2026_first_round","caf_zim","Zimbabwe","ZIM","ZW","124","2023-06-30","Eliminated in first round.","Group C, position 6","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_lby","CAF","caf_2026_first_round","caf_lby","Libya","LBY","LY","127","2023-06-30","Eliminated in first round.","Group D, position 3","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_ang","CAF","caf_2026_first_round","caf_ang","Angola","ANG","AO","114","2023-06-30","Eliminated in first round.","Group D, position 4","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_mri","CAF","caf_2026_first_round","caf_mri","Mauritius","MRI","MU","180","2023-06-30","Eliminated in first round.","Group D, position 5","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_swz","CAF","caf_2026_first_round","caf_swz","Eswatini","SWZ","SZ","146","2023-06-30","Eliminated in first round.","Group D, position 6","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_nig","CAF","caf_2026_first_round","caf_nig","Niger","NIG","NE","128","2023-06-30","Runner-up; sixth in runners-up ranking, missed CAF playoff.","Group E, position 2","Runner-up; sixth in runners-up ranking, missed CAF playoff.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_tan","CAF","caf_2026_first_round","caf_tan","Tanzania","TAN","TZ","123","2023-06-30","Eliminated in first round.","Group E, position 3","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_zam","CAF","caf_2026_first_round","caf_zam","Zambia","ZAM","ZM","84","2023-06-30","Eliminated in first round.","Group E, position 4","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_cgo","CAF","caf_2026_first_round","caf_cgo","Congo","CGO","CG","106","2023-06-30","Eliminated in first round; qualification affected by suspension/forfeits.","Group E, position 5","Eliminated in first round; qualification affected by suspension/forfeits.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_eri","CAF","caf_2026_first_round","caf_eri","Eritrea","ERI","ER","198","2023-06-30","Withdrew after draw","Group E, position 6","Withdrew after the draw; all matches cancelled.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_gam","CAF","caf_2026_first_round","caf_gam","Gambia","GAM","GM","119","2023-06-30","Eliminated in first round.","Group F, position 3","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_ken","CAF","caf_2026_first_round","caf_ken","Kenya","KEN","KE","105","2023-06-30","Eliminated in first round.","Group F, position 4","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_bdi","CAF","caf_2026_first_round","caf_bdi","Burundi","BDI","BI","140","2023-06-30","Eliminated in first round.","Group F, position 5","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_sey","CAF","caf_2026_first_round","caf_sey","Seychelles","SEY","SC","196","2023-06-30","Eliminated in first round.","Group F, position 6","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_uga","CAF","caf_2026_first_round","caf_uga","Uganda","UGA","UG","92","2023-06-30","Runner-up; eighth in runners-up ranking, missed CAF playoff.","Group G, position 2","Runner-up; eighth in runners-up ranking, missed CAF playoff.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_moz","CAF","caf_2026_first_round","caf_moz","Mozambique","MOZ","MZ","117","2023-06-30","Eliminated in first round.","Group G, position 3","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_gui","CAF","caf_2026_first_round","caf_gui","Guinea","GUI","GN","80","2023-06-30","Eliminated in first round.","Group G, position 4","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_bot","CAF","caf_2026_first_round","caf_bot","Botswana","BOT","BW","147","2023-06-30","Eliminated in first round.","Group G, position 5","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_som","CAF","caf_2026_first_round","caf_som","Somalia","SOM","SO","199","2023-06-30","Eliminated in first round.","Group G, position 6","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_nam","CAF","caf_2026_first_round","caf_nam","Namibia","NAM","NA","112","2023-06-30","Runner-up; ninth in runners-up ranking, missed CAF playoff.","Group H, position 2","Runner-up; ninth in runners-up ranking, missed CAF playoff.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_lbr","CAF","caf_2026_first_round","caf_lbr","Liberia","LBR","LR","148","2023-06-30","Eliminated in first round.","Group H, position 3","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_mwi","CAF","caf_2026_first_round","caf_mwi","Malawi","MWI","MW","126","2023-06-30","Eliminated in first round.","Group H, position 4","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_eqg","CAF","caf_2026_first_round","caf_eqg","Equatorial Guinea","EQG","GQ","91","2023-06-30","Eliminated in first round; forfeited matches after ineligible-player case and later match cancellation/forfeit.","Group H, position 5","Eliminated in first round; forfeited matches after ineligible-player case and later match cancellation/forfeit.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_stp","CAF","caf_2026_first_round","caf_stp","São Tomé and Príncipe","STP","ST","187","2023-06-30","Eliminated in first round.","Group H, position 6","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_mad","CAF","caf_2026_first_round","caf_mad","Madagascar","MAD","MG","107","2023-06-30","Runner-up; seventh in runners-up ranking, missed CAF playoff.","Group I, position 2","Runner-up; seventh in runners-up ranking, missed CAF playoff.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_mli","CAF","caf_2026_first_round","caf_mli","Mali","MLI","ML","50","2023-06-30","Eliminated in first round.","Group I, position 3","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_com","CAF","caf_2026_first_round","caf_com","Comoros","COM","KM","130","2023-06-30","Eliminated in first round.","Group I, position 4","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_cta","CAF","caf_2026_first_round","caf_cta","Central African Republic","CTA","CF","125","2023-06-30","Eliminated in first round.","Group I, position 5","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_r1_cha","CAF","caf_2026_first_round","caf_cha","Chad","CHA","TD","181","2023-06-30","Eliminated in first round.","Group I, position 6","Eliminated in first round.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_po_gab","CAF","caf_2026_second_round","caf_gab","Gabon","GAB","GA","85","2023-06-30","Lost 4-1 after extra time to Nigeria in CAF playoff semi-final.","CAF playoff semi-finalist","Lost 4-1 after extra time to Nigeria in CAF playoff semi-final.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_po_cmr","CAF","caf_2026_second_round","caf_cmr","Cameroon","CMR","CM","43","2023-06-30","Lost 1-0 to DR Congo in CAF playoff semi-final.","CAF playoff semi-finalist","Lost 1-0 to DR Congo in CAF playoff semi-final.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_elim_po_nga","CAF","caf_2026_second_round","caf_nga","Nigeria","NGA","NG","39","2023-06-30","Lost CAF playoff final to DR Congo on penalties after a 1-1 draw after extra time.","CAF playoff runner-up","Lost CAF playoff final to DR Congo on penalties after a 1-1 draw after extra time.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"CONCACAF_R1_TCA","CONCACAF","CONCACAF_R1","TCA","Turks and Caicos Islands","TCA","TC","206","2023-12-21","Lost first-round tie to Anguilla on penalties","","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_first_round"
"CONCACAF_R1_VIR","CONCACAF","CONCACAF_R1","VIR","U.S. Virgin Islands","VIR","VI","208","2023-12-21","Lost first-round tie to British Virgin Islands on penalties","","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_first_round"
"CONCACAF_R2_CUB","CONCACAF","CONCACAF_R2","CUB","Cuba","CUB","CU","169","2023-12-21","Finished outside top two in Second Round Group A","Group A","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round"
"CONCACAF_R2_CAY","CONCACAF","CONCACAF_R2","CAY","Cayman Islands","CAY","KY","197","2023-12-21","Finished outside top two in Second Round Group A","Group A","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round"
"CONCACAF_R2_ATG","CONCACAF","CONCACAF_R2","ATG","Antigua and Barbuda","ATG","AG","142","2023-12-21","Finished outside top two in Second Round Group A","Group A","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round"
"CONCACAF_R2_GRN","CONCACAF","CONCACAF_R2","GRN","Grenada","GRN","GD","174","2023-12-21","Finished outside top two in Second Round Group B","Group B","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round"
"CONCACAF_R2_SKN","CONCACAF","CONCACAF_R2","SKN","Saint Kitts and Nevis","SKN","KN","147","2023-12-21","Finished outside top two in Second Round Group B","Group B","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round"
"CONCACAF_R2_BAH","CONCACAF","CONCACAF_R2","BAH","Bahamas","BAH","BS","202","2023-12-21","Finished outside top two in Second Round Group B","Group B","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round"
"CONCACAF_R2_LCA","CONCACAF","CONCACAF_R2","LCA","Saint Lucia","LCA","LC","167","2023-12-21","Finished outside top two in Second Round Group C","Group C","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round"
"CONCACAF_R2_ARU","CONCACAF","CONCACAF_R2","ARU","Aruba","ARU","AW","193","2023-12-21","Finished outside top two in Second Round Group C","Group C","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round"
"CONCACAF_R2_BRB","CONCACAF","CONCACAF_R2","BRB","Barbados","BRB","BB","178","2023-12-21","Finished outside top two in Second Round Group C","Group C","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round"
"CONCACAF_R2_GUY","CONCACAF","CONCACAF_R2","GUY","Guyana","GUY","GY","157","2023-12-21","Finished outside top two in Second Round Group D","Group D","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round"
"CONCACAF_R2_MSR","CONCACAF","CONCACAF_R2","MSR","Montserrat","MSR","MS","176","2023-12-21","Finished outside top two in Second Round Group D","Group D","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round"
"CONCACAF_R2_BLZ","CONCACAF","CONCACAF_R2","BLZ","Belize","BLZ","BZ","182","2023-12-21","Finished outside top two in Second Round Group D","Group D","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round"
"CONCACAF_R2_DOM","CONCACAF","CONCACAF_R2","DOM","Dominican Republic","DOM","DO","151","2023-12-21","Finished outside top two in Second Round Group E","Group E","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round"
"CONCACAF_R2_DMA","CONCACAF","CONCACAF_R2","DMA","Dominica","DMA","DM","180","2023-12-21","Finished outside top two in Second Round Group E","Group E","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round"
"CONCACAF_R2_VGB","CONCACAF","CONCACAF_R2","VGB","British Virgin Islands","VGB","VG","207","2023-12-21","Finished outside top two in Second Round Group E","Group E","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round"
"CONCACAF_R2_PUR","CONCACAF","CONCACAF_R2","PUR","Puerto Rico","PUR","PR","160","2023-12-21","Finished outside top two in Second Round Group F","Group F","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round"
"CONCACAF_R2_VIN","CONCACAF","CONCACAF_R2","VIN","Saint Vincent and the Grenadines","VIN","VC","173","2023-12-21","Finished outside top two in Second Round Group F","Group F","","FIFA / Wikipedia / Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round"
