team_id,team_name,fifa_code,flag_code,confederation_id,is_fifa_member,entered_qualification,fifa_rank,rank_snapshot_date,draw_pot,group_id,final_status,qualified_for_world_cup,final_stage_reached,qualification_method,notes,source_name,source_url
AUT,Austria,AUT,AT,UEFA,true,true,22,2024-11-28,Pot 1,UEFA Group H,qualified,true,First round group stage,UEFA Group H winner,Qualified directly as UEFA Group H winner.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
UKR,Ukraine,UKR,UA,UEFA,true,true,25,2024-11-28,Pot 2,UEFA Group D,playoff_loss,false,Second round play-offs,,Reached UEFA second round play-offs but was eliminated.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
SWE,Sweden,SWE,SE,UEFA,true,true,27,2024-11-28,Pot 2,UEFA Group B,qualified,true,Second round play-offs,UEFA play-offs Path B winner,Qualified through the UEFA play-offs Path B winner.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
TUR,Turkey,TUR,TR,UEFA,true,true,28,2024-11-28,Pot 2,UEFA Group E,qualified,true,Second round play-offs,UEFA play-offs Path C winner,Qualified through the UEFA play-offs Path C winner.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
WAL,Wales,WAL,GB-WLS,UEFA,true,true,29,2024-11-28,Pot 2,UEFA Group J,playoff_loss,false,Second round play-offs,,Reached UEFA second round play-offs but was eliminated.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
HUN,Hungary,HUN,HU,UEFA,true,true,30,2024-11-28,Pot 2,UEFA Group F,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
SRB,Serbia,SRB,RS,UEFA,true,true,32,2024-11-28,Pot 2,UEFA Group K,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
POL,Poland,POL,PL,UEFA,true,true,35,2024-11-28,Pot 2,UEFA Group G,playoff_loss,false,Second round play-offs,,Reached UEFA second round play-offs but was eliminated.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
ROU,Romania,ROU,RO,UEFA,true,true,38,2024-11-28,Pot 2,UEFA Group H,playoff_loss,false,Second round play-offs,,Reached UEFA second round play-offs but was eliminated.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
GRE,Greece,GRE,GR,UEFA,true,true,39,2024-11-28,Pot 2,UEFA Group C,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
SVK,Slovakia,SVK,SK,UEFA,true,true,41,2024-11-28,Pot 2,UEFA Group A,playoff_loss,false,Second round play-offs,,Reached UEFA second round play-offs but was eliminated.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
CZE,Czech Republic,CZE,CZ,UEFA,true,true,42,2024-11-28,Pot 2,UEFA Group L,qualified,true,Second round play-offs,UEFA play-offs Path D winner,Qualified through the UEFA play-offs Path D winner.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
NOR,Norway,NOR,NO,UEFA,true,true,43,2024-11-28,Pot 2,UEFA Group I,qualified,true,First round group stage,UEFA Group I winner,Qualified directly as UEFA Group I winner.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
SCO,Scotland,SCO,GB-SCT,UEFA,true,true,45,2024-11-28,Pot 3,UEFA Group C,qualified,true,First round group stage,UEFA Group C winner,Qualified directly as UEFA Group C winner.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
SVN,Slovenia,SVN,SI,UEFA,true,true,55,2024-11-28,Pot 3,UEFA Group B,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
IRL,Republic of Ireland,IRL,IE,UEFA,true,true,60,2024-11-28,Pot 3,UEFA Group F,playoff_loss,false,Second round play-offs,,Reached UEFA second round play-offs but was eliminated.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
ALB,Albania,ALB,AL,UEFA,true,true,65,2024-11-28,Pot 3,UEFA Group K,playoff_loss,false,Second round play-offs,,Reached UEFA second round play-offs but was eliminated.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
MKD,North Macedonia,MKD,MK,UEFA,true,true,67,2024-11-28,Pot 3,UEFA Group J,playoff_loss,false,Second round play-offs,,Reached UEFA second round play-offs but was eliminated.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
GEO,Georgia,GEO,GE,UEFA,true,true,68,2024-11-28,Pot 3,UEFA Group E,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
FIN,Finland,FIN,FI,UEFA,true,true,69,2024-11-28,Pot 3,UEFA Group G,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
ISL,Iceland,ISL,IS,UEFA,true,true,70,2024-11-28,Pot 3,UEFA Group D,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
NIR,Northern Ireland,NIR,GB-NIR,UEFA,true,true,71,2024-11-28,Pot 3,UEFA Group A,playoff_loss,false,Second round play-offs,,Reached UEFA second round play-offs but was eliminated.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
MNE,Montenegro,MNE,ME,UEFA,true,true,73,2024-11-28,Pot 3,UEFA Group L,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
BIH,Bosnia and Herzegovina,BIH,BA,UEFA,true,true,74,2024-11-28,Pot 3,UEFA Group H,qualified,true,Second round play-offs,UEFA play-offs Path A winner,Qualified through the UEFA play-offs Path A winner.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
ISR,Israel,ISR,IL,UEFA,true,true,76,2024-11-28,Pot 3,UEFA Group I,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
BUL,Bulgaria,BUL,BG,UEFA,true,true,82,2024-11-28,Pot 4,UEFA Group E,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
LUX,Luxembourg,LUX,LU,UEFA,true,true,92,2024-11-28,Pot 4,UEFA Group A,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
BLR,Belarus,BLR,BY,UEFA,true,true,98,2024-11-28,Pot 4,UEFA Group C,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
KVX,Kosovo,KVX,XK,UEFA,true,true,99,2024-11-28,Pot 4,UEFA Group B,playoff_loss,false,Second round play-offs,,Reached UEFA second round play-offs but was eliminated.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
ARM,Armenia,ARM,AM,UEFA,true,true,100,2024-11-28,Pot 4,UEFA Group F,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
KAZ,Kazakhstan,KAZ,KZ,UEFA,true,true,110,2024-11-28,Pot 4,UEFA Group J,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
AZE,Azerbaijan,AZE,AZ,UEFA,true,true,117,2024-11-28,Pot 4,UEFA Group D,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
EST,Estonia,EST,EE,UEFA,true,true,123,2024-11-28,Pot 4,UEFA Group I,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
CYP,Cyprus,CYP,CY,UEFA,true,true,130,2024-11-28,Pot 4,UEFA Group H,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
FRO,Faroe Islands,FRO,FO,UEFA,true,true,137,2024-11-28,Pot 4,UEFA Group L,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
LVA,Latvia,LVA,LV,UEFA,true,true,140,2024-11-28,Pot 4,UEFA Group K,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
LTU,Lithuania,LTU,LT,UEFA,true,true,142,2024-11-28,Pot 4,UEFA Group G,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
MDA,Moldova,MDA,MD,UEFA,true,true,151,2024-11-28,Pot 5,UEFA Group I,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
MLT,Malta,MLT,MT,UEFA,true,true,169,2024-11-28,Pot 5,UEFA Group G,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
AND,Andorra,AND,AD,UEFA,true,true,171,2024-11-28,Pot 5,UEFA Group K,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
GIB,Gibraltar,GIB,GI,UEFA,true,true,197,2024-11-28,Pot 5,UEFA Group L,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
LIE,Liechtenstein,LIE,LI,UEFA,true,true,204,2024-11-28,Pot 5,UEFA Group J,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
SMR,San Marino,SMR,SM,UEFA,true,true,210,2024-11-28,Pot 5,UEFA Group H,eliminated,false,First round group stage,,Eliminated in the first round group stage.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
RUS,Russia,RUS,RU,UEFA,true,false,34,2024-11-28,Suspended,,suspended,false,Did not enter,,Russia did not enter after its entry was invalidated because of suspension from UEFA and FIFA competitions.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
