"match_id","round_id","confederation_id","group_id","bracket_id","match_order","date","home_team_id","home_team_name","home_fifa_code","home_flag_code","home_fifa_rank","away_team_id","away_team_name","away_fifa_code","away_flag_code","away_fifa_rank","home_score","away_score","extra_time","penalties","winning_team_id","result_notes","result","notes","source_name","source_url","venue","stage"
"caf_r1_m004","caf_2026_first_round","CAF","caf_r1_group_a","","4","","caf_egy","Egypt","EGY","EG","34","caf_eth","Ethiopia","ETH","ET","143","2","0","FALSE","","caf_egy","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m005","caf_2026_first_round","CAF","caf_r1_group_a","","5","","caf_egy","Egypt","EGY","EG","34","caf_dji","Djibouti","DJI","DJ","193","6","0","FALSE","","caf_egy","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m006","caf_2026_first_round","CAF","caf_r1_group_a","","6","","caf_bfa","Burkina Faso","BFA","BF","55","caf_egy","Egypt","EGY","EG","34","0","0","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m007","caf_2026_first_round","CAF","caf_r1_group_a","","7","","caf_bfa","Burkina Faso","BFA","BF","55","caf_sle","Sierra Leone","SLE","SL","120","2","2","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m008","caf_2026_first_round","CAF","caf_r1_group_a","","8","","caf_bfa","Burkina Faso","BFA","BF","55","caf_gnb","Guinea-Bissau","GNB","GW","111","1","1","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m009","caf_2026_first_round","CAF","caf_r1_group_a","","9","","caf_bfa","Burkina Faso","BFA","BF","55","caf_eth","Ethiopia","ETH","ET","143","3","1","FALSE","","caf_bfa","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m010","caf_2026_first_round","CAF","caf_r1_group_a","","10","","caf_bfa","Burkina Faso","BFA","BF","55","caf_dji","Djibouti","DJI","DJ","193","4","1","FALSE","","caf_bfa","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m011","caf_2026_first_round","CAF","caf_r1_group_a","","11","","caf_sle","Sierra Leone","SLE","SL","120","caf_egy","Egypt","EGY","EG","34","0","2","FALSE","","caf_egy","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","away_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m012","caf_2026_first_round","CAF","caf_r1_group_a","","12","","caf_sle","Sierra Leone","SLE","SL","120","caf_bfa","Burkina Faso","BFA","BF","55","0","1","FALSE","","caf_bfa","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","away_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m013","caf_2026_first_round","CAF","caf_r1_group_a","","13","","caf_sle","Sierra Leone","SLE","SL","120","caf_gnb","Guinea-Bissau","GNB","GW","111","3","1","FALSE","","caf_sle","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m014","caf_2026_first_round","CAF","caf_r1_group_a","","14","","caf_sle","Sierra Leone","SLE","SL","120","caf_eth","Ethiopia","ETH","ET","143","2","0","FALSE","","caf_sle","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m015","caf_2026_first_round","CAF","caf_r1_group_a","","15","","caf_sle","Sierra Leone","SLE","SL","120","caf_dji","Djibouti","DJI","DJ","193","2","1","FALSE","","caf_sle","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m016","caf_2026_first_round","CAF","caf_r1_group_a","","16","","caf_gnb","Guinea-Bissau","GNB","GW","111","caf_egy","Egypt","EGY","EG","34","1","1","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m017","caf_2026_first_round","CAF","caf_r1_group_a","","17","","caf_gnb","Guinea-Bissau","GNB","GW","111","caf_bfa","Burkina Faso","BFA","BF","55","1","2","FALSE","","caf_bfa","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","away_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m018","caf_2026_first_round","CAF","caf_r1_group_a","","18","","caf_gnb","Guinea-Bissau","GNB","GW","111","caf_sle","Sierra Leone","SLE","SL","120","1","1","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m019","caf_2026_first_round","CAF","caf_r1_group_a","","19","","caf_gnb","Guinea-Bissau","GNB","GW","111","caf_eth","Ethiopia","ETH","ET","143","0","0","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m020","caf_2026_first_round","CAF","caf_r1_group_a","","20","","caf_gnb","Guinea-Bissau","GNB","GW","111","caf_dji","Djibouti","DJI","DJ","193","2","0","FALSE","","caf_gnb","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m021","caf_2026_first_round","CAF","caf_r1_group_a","","21","","caf_eth","Ethiopia","ETH","ET","143","caf_egy","Egypt","EGY","EG","34","0","2","FALSE","","caf_egy","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","away_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m022","caf_2026_first_round","CAF","caf_r1_group_a","","22","","caf_eth","Ethiopia","ETH","ET","143","caf_bfa","Burkina Faso","BFA","BF","55","0","3","FALSE","","caf_bfa","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","away_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m023","caf_2026_first_round","CAF","caf_r1_group_a","","23","","caf_eth","Ethiopia","ETH","ET","143","caf_sle","Sierra Leone","SLE","SL","120","0","0","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m024","caf_2026_first_round","CAF","caf_r1_group_a","","24","","caf_eth","Ethiopia","ETH","ET","143","caf_gnb","Guinea-Bissau","GNB","GW","111","1","0","FALSE","","caf_eth","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m025","caf_2026_first_round","CAF","caf_r1_group_a","","25","","caf_eth","Ethiopia","ETH","ET","143","caf_dji","Djibouti","DJI","DJ","193","6","1","FALSE","","caf_eth","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m026","caf_2026_first_round","CAF","caf_r1_group_a","","26","","caf_dji","Djibouti","DJI","DJ","193","caf_egy","Egypt","EGY","EG","34","0","3","FALSE","","caf_egy","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","away_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m027","caf_2026_first_round","CAF","caf_r1_group_a","","27","","caf_dji","Djibouti","DJI","DJ","193","caf_bfa","Burkina Faso","BFA","BF","55","0","6","FALSE","","caf_bfa","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","away_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m028","caf_2026_first_round","CAF","caf_r1_group_a","","28","","caf_dji","Djibouti","DJI","DJ","193","caf_sle","Sierra Leone","SLE","SL","120","1","2","FALSE","","caf_sle","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","away_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m029","caf_2026_first_round","CAF","caf_r1_group_a","","29","","caf_dji","Djibouti","DJI","DJ","193","caf_gnb","Guinea-Bissau","GNB","GW","111","0","1","FALSE","","caf_gnb","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","away_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m030","caf_2026_first_round","CAF","caf_r1_group_a","","30","","caf_dji","Djibouti","DJI","DJ","193","caf_eth","Ethiopia","ETH","ET","143","1","1","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m031","caf_2026_first_round","CAF","caf_r1_group_b","","31","","caf_sen","Senegal","SEN","SN","18","caf_cod","DR Congo","COD","CD","69","1","1","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m032","caf_2026_first_round","CAF","caf_r1_group_b","","32","","caf_sen","Senegal","SEN","SN","18","caf_sdn","Sudan","SDN","SD","131","2","0","FALSE","","caf_sen","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m033","caf_2026_first_round","CAF","caf_r1_group_b","","33","","caf_sen","Senegal","SEN","SN","18","caf_tog","Togo","TOG","TG","122","2","0","FALSE","","caf_sen","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m034","caf_2026_first_round","CAF","caf_r1_group_b","","34","","caf_sen","Senegal","SEN","SN","18","caf_mtn","Mauritania","MTN","MR","99","4","0","FALSE","","caf_sen","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m035","caf_2026_first_round","CAF","caf_r1_group_b","","35","","caf_sen","Senegal","SEN","SN","18","caf_ssd","South Sudan","SSD","SS","168","4","0","FALSE","","caf_sen","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m036","caf_2026_first_round","CAF","caf_r1_group_b","","36","","caf_cod","DR Congo","COD","CD","69","caf_sen","Senegal","SEN","SN","18","2","3","FALSE","","caf_sen","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","away_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m037","caf_2026_first_round","CAF","caf_r1_group_b","","37","","caf_cod","DR Congo","COD","CD","69","caf_sdn","Sudan","SDN","SD","131","1","0","FALSE","","caf_cod","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m038","caf_2026_first_round","CAF","caf_r1_group_b","","38","","caf_cod","DR Congo","COD","CD","69","caf_tog","Togo","TOG","TG","122","1","0","FALSE","","caf_cod","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m039","caf_2026_first_round","CAF","caf_r1_group_b","","39","","caf_cod","DR Congo","COD","CD","69","caf_mtn","Mauritania","MTN","MR","99","2","0","FALSE","","caf_cod","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m040","caf_2026_first_round","CAF","caf_r1_group_b","","40","","caf_cod","DR Congo","COD","CD","69","caf_ssd","South Sudan","SSD","SS","168","1","0","FALSE","","caf_cod","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m041","caf_2026_first_round","CAF","caf_r1_group_b","","41","","caf_sdn","Sudan","SDN","SD","131","caf_sen","Senegal","SEN","SN","18","0","0","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m042","caf_2026_first_round","CAF","caf_r1_group_b","","42","","caf_sdn","Sudan","SDN","SD","131","caf_cod","DR Congo","COD","CD","69","1","0","FALSE","","caf_sdn","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m043","caf_2026_first_round","CAF","caf_r1_group_b","","43","","caf_sdn","Sudan","SDN","SD","131","caf_tog","Togo","TOG","TG","122","1","1","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m044","caf_2026_first_round","CAF","caf_r1_group_b","","44","","caf_sdn","Sudan","SDN","SD","131","caf_mtn","Mauritania","MTN","MR","99","0","0","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m045","caf_2026_first_round","CAF","caf_r1_group_b","","45","","caf_sdn","Sudan","SDN","SD","131","caf_ssd","South Sudan","SSD","SS","168","1","1","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m046","caf_2026_first_round","CAF","caf_r1_group_b","","46","","caf_tog","Togo","TOG","TG","122","caf_sen","Senegal","SEN","SN","18","0","0","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m047","caf_2026_first_round","CAF","caf_r1_group_b","","47","","caf_tog","Togo","TOG","TG","122","caf_cod","DR Congo","COD","CD","69","0","1","FALSE","","caf_cod","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","away_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m048","caf_2026_first_round","CAF","caf_r1_group_b","","48","","caf_tog","Togo","TOG","TG","122","caf_sdn","Sudan","SDN","SD","131","1","0","FALSE","","caf_tog","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m049","caf_2026_first_round","CAF","caf_r1_group_b","","49","","caf_tog","Togo","TOG","TG","122","caf_mtn","Mauritania","MTN","MR","99","2","2","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m050","caf_2026_first_round","CAF","caf_r1_group_b","","50","","caf_tog","Togo","TOG","TG","122","caf_ssd","South Sudan","SSD","SS","168","1","1","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m051","caf_2026_first_round","CAF","caf_r1_group_b","","51","","caf_mtn","Mauritania","MTN","MR","99","caf_sen","Senegal","SEN","SN","18","0","1","FALSE","","caf_sen","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","away_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m052","caf_2026_first_round","CAF","caf_r1_group_b","","52","","caf_mtn","Mauritania","MTN","MR","99","caf_cod","DR Congo","COD","CD","69","0","2","FALSE","","caf_cod","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","away_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m053","caf_2026_first_round","CAF","caf_r1_group_b","","53","","caf_mtn","Mauritania","MTN","MR","99","caf_sdn","Sudan","SDN","SD","131","0","2","FALSE","","caf_sdn","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","away_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m054","caf_2026_first_round","CAF","caf_r1_group_b","","54","","caf_mtn","Mauritania","MTN","MR","99","caf_tog","Togo","TOG","TG","122","2","0","FALSE","","caf_mtn","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m055","caf_2026_first_round","CAF","caf_r1_group_b","","55","","caf_mtn","Mauritania","MTN","MR","99","caf_ssd","South Sudan","SSD","SS","168","0","0","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m056","caf_2026_first_round","CAF","caf_r1_group_b","","56","","caf_ssd","South Sudan","SSD","SS","168","caf_sen","Senegal","SEN","SN","18","0","5","FALSE","","caf_sen","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","away_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m057","caf_2026_first_round","CAF","caf_r1_group_b","","57","","caf_ssd","South Sudan","SSD","SS","168","caf_cod","DR Congo","COD","CD","69","1","4","FALSE","","caf_cod","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","away_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m058","caf_2026_first_round","CAF","caf_r1_group_b","","58","","caf_ssd","South Sudan","SSD","SS","168","caf_sdn","Sudan","SDN","SD","131","0","3","FALSE","","caf_sdn","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","away_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m059","caf_2026_first_round","CAF","caf_r1_group_b","","59","","caf_ssd","South Sudan","SSD","SS","168","caf_tog","Togo","TOG","TG","122","0","0","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m060","caf_2026_first_round","CAF","caf_r1_group_b","","60","","caf_ssd","South Sudan","SSD","SS","168","caf_mtn","Mauritania","MTN","MR","99","0","0","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m061","caf_2026_first_round","CAF","caf_r1_group_c","","61","","caf_rsa","South Africa","RSA","ZA","62","caf_nga","Nigeria","NGA","NG","39","1","1","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m062","caf_2026_first_round","CAF","caf_r1_group_c","","62","","caf_rsa","South Africa","RSA","ZA","62","caf_ben","Benin","BEN","BJ","93","2","1","FALSE","","caf_rsa","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m063","caf_2026_first_round","CAF","caf_r1_group_c","","63","","caf_rsa","South Africa","RSA","ZA","62","caf_les","Lesotho","LES","LS","152","0","3","FALSE","","caf_les","Awarded as 3-0 to Lesotho after South Africa fielded an ineligible player; original result was South Africa 2-0 Lesotho.","away_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m064","caf_2026_first_round","CAF","caf_r1_group_c","","64","","caf_rsa","South Africa","RSA","ZA","62","caf_rwa","Rwanda","RWA","RW","139","3","0","FALSE","","caf_rsa","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m065","caf_2026_first_round","CAF","caf_r1_group_c","","65","","caf_rsa","South Africa","RSA","ZA","62","caf_zim","Zimbabwe","ZIM","ZW","124","3","1","FALSE","","caf_rsa","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m066","caf_2026_first_round","CAF","caf_r1_group_c","","66","","caf_nga","Nigeria","NGA","NG","39","caf_rsa","South Africa","RSA","ZA","62","1","1","FALSE","","","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","draw","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
