team_id,team_name,fifa_code,flag_code,confederation_id,is_fifa_member,fifa_rank,rank_snapshot_date,rank_note,final_status,qualified_for_world_cup,qualification_or_elimination_summary,eliminated_round,last_updated,source_name,source_url
VIE,Vietnam,VIE,VN,AFC,TRUE,95,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished outside top two in AFC second round group,Round 2,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
PLE,Palestine,PLE,PS,AFC,TRUE,96,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished 5th/6th in AFC third round group,Round 3,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
KGZ,Kyrgyzstan,KGZ,KG,AFC,TRUE,97,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished 5th/6th in AFC third round group,Round 3,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
IND,India,IND,IN,AFC,TRUE,99,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished outside top two in AFC second round group,Round 2,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
LBN,Lebanon,LBN,LB,AFC,TRUE,100,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished outside top two in AFC second round group,Round 2,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
TJK,Tajikistan,TJK,TJ,AFC,TRUE,110,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished outside top two in AFC second round group,Round 2,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
THA,Thailand,THA,TH,AFC,TRUE,113,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished outside top two in AFC second round group,Round 2,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
PRK,North Korea,PRK,KP,AFC,TRUE,115,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished 5th/6th in AFC third round group,Round 3,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
PHI,Philippines,PHI,PH,AFC,TRUE,135,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished outside top two in AFC second round group,Round 2,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
MAS,Malaysia,MAS,MY,AFC,TRUE,136,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished outside top two in AFC second round group,Round 2,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
KUW,Kuwait,KUW,KW,AFC,TRUE,137,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished 5th/6th in AFC third round group,Round 3,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
TKM,Turkmenistan,TKM,TM,AFC,TRUE,138,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished outside top two in AFC second round group,Round 2,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
HKG,Hong Kong,HKG,HK,AFC,TRUE,149,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished outside top two in AFC second round group,Round 2,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
IDN,Indonesia,IDN,ID,AFC,TRUE,150,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished 3rd in AFC fourth round group,Round 4,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
TPE,Chinese Taipei,TPE,TW,AFC,TRUE,153,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished outside top two in AFC second round group,Round 2,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
MDV,Maldives,MDV,MV,AFC,TRUE,155,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Eliminated in AFC first round two-leg tie,Round 1,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
YEM,Yemen,YEM,YE,AFC,TRUE,156,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished outside top two in AFC second round group,Round 2,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
AFG,Afghanistan,AFG,AF,AFC,TRUE,157,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished outside top two in AFC second round group,Round 2,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
SIN,Singapore,SIN,SG,AFC,TRUE,158,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished outside top two in AFC second round group,Round 2,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
MYA,Myanmar,MYA,MM,AFC,TRUE,160,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished outside top two in AFC second round group,Round 2,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
NEP,Nepal,NEP,NP,AFC,TRUE,175,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished outside top two in AFC second round group,Round 2,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
CAM,Cambodia,CAM,KH,AFC,TRUE,176,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Eliminated in AFC first round two-leg tie,Round 1,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
MAC,Macau,MAC,MO,AFC,TRUE,182,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Eliminated in AFC first round two-leg tie,Round 1,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
MNG,Mongolia,MNG,MN,AFC,TRUE,183,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Eliminated in AFC first round two-leg tie,Round 1,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
BHU,Bhutan,BHU,BT,AFC,TRUE,185,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Eliminated in AFC first round two-leg tie,Round 1,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
LAO,Laos,LAO,LA,AFC,TRUE,187,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Eliminated in AFC first round two-leg tie,Round 1,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
BAN,Bangladesh,BAN,BD,AFC,TRUE,189,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished outside top two in AFC second round group,Round 2,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
BRU,Brunei,BRU,BN,AFC,TRUE,190,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Eliminated in AFC first round two-leg tie,Round 1,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
TLS,Timor-Leste,TLS,TL,AFC,TRUE,192,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Eliminated in AFC first round two-leg tie,Round 1,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
PAK,Pakistan,PAK,PK,AFC,TRUE,201,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished outside top two in AFC second round group,Round 2,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
GUM,Guam,GUM,GU,AFC,TRUE,203,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Eliminated in AFC first round two-leg tie,Round 1,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
SRI,Sri Lanka,SRI,LK,AFC,TRUE,204,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Eliminated in AFC first round two-leg tie,Round 1,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
