"tie_id","round_id","confederation_id","round_name","team1_id","team1_name","team1_fifa_code","team1_flag_code","team1_fifa_rank","team2_id","team2_name","team2_fifa_code","team2_flag_code","team2_fifa_rank","aggregate_score","leg1_score_team1_first","leg2_score_team1_first","winner_team_id","loser_team_id","notes","source_name","source_url","bracket_id","stage","date","team_1_id","team_1_name","team_1_fifa_code","team_1_score","team_2_id","team_2_name","team_2_fifa_code","team_2_score","extra_time","penalties","winner_team_name","loser_team_name","winner_advances_to","loser_eliminated","tie_name","penalty_score","winner_advances_to_round_id","path","home_team_id","home_team_name","away_team_id","away_team_name","home_score","away_score","qualified_for_world_cup"
"CONCACAF_ICPO_SF_SUR","CONCACAF_ICPO","CONCACAF","","BOL","Bolivia","","","","SUR","Suriname","","","","2-1","","","BOL","SUR","Bolivia came back to beat Suriname 2-1 in the inter-confederation playoff semifinal.","","https://www.reuters.com/sports/soccer/bolivia-rally-beat-suriname-reach-world-cup-playoff-final-2026-03-27/","","","","","","","","","","","","","","Bolivia","Suriname","","True","Bolivia vs Suriname","","ICPO_FINAL","","","","","","","",""
"CONCACAF_ICPO_SF_JAM","CONCACAF_ICPO","CONCACAF","","JAM","Jamaica","","","","NCL","New Caledonia","","","","1-0","","","JAM","NCL","Jamaica beat New Caledonia 1-0 in the inter-confederation playoff semifinal.","","https://www.reuters.com/sports/soccer/jamaica-reach-world-cup-playoff-final-with-1-0-win-over-new-caledonia-2026-03-27/","","","","","","","","","","","","","","Jamaica","New Caledonia","","True","Jamaica vs New Caledonia","","ICPO_FINAL","","","","","","","",""
"CONCACAF_ICPO_FINAL_JAM","CONCACAF_ICPO","CONCACAF","","COD","DR Congo","","","","JAM","Jamaica","","","","1-0 aet","","","COD","JAM","DR Congo defeated Jamaica 1-0 after extra time; Jamaica was eliminated.","","https://www.reuters.com/sports/soccer/dr-congo-score-extra-time-winner-qualify-world-cup-2026-03-31/","","","","","","","","","","","","","","DR Congo","Jamaica","","True","DR Congo vs Jamaica","","World Cup","","","","","","","",""
"UEFA_PATH_A_SF1","UEFA_R2","UEFA","","","","","","","","","","","","","","","ITA","NIR","Winner advanced to the play-off final.","UEFA play-off results","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_UEFA_second_round","","Semi-final","2026-03-26","","","","","","","","","","","Italy","Northern Ireland","","","","","","Path A","ITA","Italy","NIR","Northern Ireland","2","0","false"
"UEFA_PATH_A_SF2","UEFA_R2","UEFA","","","","","","","","","","","","","","","BIH","WAL","Winner advanced to the play-off final.","UEFA play-off results","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_UEFA_second_round","","Semi-final","2026-03-26","","","","","","","","","true","2-4","Bosnia and Herzegovina","Wales","","","","","","Path A","WAL","Wales","BIH","Bosnia and Herzegovina","1","1","false"
"UEFA_PATH_A_FINAL","UEFA_R2","UEFA","","","","","","","","","","","","","","","BIH","ITA","Winner qualified for the World Cup.","UEFA play-off results","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_UEFA_second_round","","Final","2026-03-31","","","","","","","","","true","4-1","Bosnia and Herzegovina","Italy","","","","","","Path A","BIH","Bosnia and Herzegovina","ITA","Italy","1","1","true"
"UEFA_PATH_B_SF1","UEFA_R2","UEFA","","","","","","","","","","","","","","","SWE","UKR","Winner advanced to the play-off final.","UEFA play-off results","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_UEFA_second_round","","Semi-final","2026-03-26","","","","","","","","","","","Sweden","Ukraine","","","","","","Path B","UKR","Ukraine","SWE","Sweden","1","3","false"
"UEFA_PATH_B_SF2","UEFA_R2","UEFA","","","","","","","","","","","","","","","POL","ALB","Winner advanced to the play-off final.","UEFA play-off results","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_UEFA_second_round","","Semi-final","2026-03-26","","","","","","","","","","","Poland","Albania","","","","","","Path B","POL","Poland","ALB","Albania","2","1","false"
"UEFA_PATH_B_FINAL","UEFA_R2","UEFA","","","","","","","","","","","","","","","SWE","POL","Winner qualified for the World Cup.","UEFA play-off results","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_UEFA_second_round","","Final","2026-03-31","","","","","","","","","","","Sweden","Poland","","","","","","Path B","SWE","Sweden","POL","Poland","3","2","true"
"UEFA_PATH_C_SF1","UEFA_R2","UEFA","","","","","","","","","","","","","","","TUR","ROU","Winner advanced to the play-off final.","UEFA play-off results","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_UEFA_second_round","","Semi-final","2026-03-26","","","","","","","","","","","Turkey","Romania","","","","","","Path C","TUR","Turkey","ROU","Romania","1","0","false"
"UEFA_PATH_C_SF2","UEFA_R2","UEFA","","","","","","","","","","","","","","","KVX","SVK","Winner advanced to the play-off final.","UEFA play-off results","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_UEFA_second_round","","Semi-final","2026-03-26","","","","","","","","","","","Kosovo","Slovakia","","","","","","Path C","SVK","Slovakia","KVX","Kosovo","3","4","false"
"UEFA_PATH_C_FINAL","UEFA_R2","UEFA","","","","","","","","","","","","","","","TUR","KVX","Winner qualified for the World Cup.","UEFA play-off results","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_UEFA_second_round","","Final","2026-03-31","","","","","","","","","","","Turkey","Kosovo","","","","","","Path C","KVX","Kosovo","TUR","Turkey","0","1","true"
"UEFA_PATH_D_SF1","UEFA_R2","UEFA","","","","","","","","","","","","","","","DEN","MKD","Winner advanced to the play-off final.","UEFA play-off results","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_UEFA_second_round","","Semi-final","2026-03-26","","","","","","","","","","","Denmark","North Macedonia","","","","","","Path D","DEN","Denmark","MKD","North Macedonia","4","0","false"
"UEFA_PATH_D_SF2","UEFA_R2","UEFA","","","","","","","","","","","","","","","CZE","IRL","Winner advanced to the play-off final.","UEFA play-off results","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_UEFA_second_round","","Semi-final","2026-03-26","","","","","","","","","true","4-3","Czech Republic","Republic of Ireland","","","","","","Path D","CZE","Czech Republic","IRL","Republic of Ireland","2","2","false"
"UEFA_PATH_D_FINAL","UEFA_R2","UEFA","","","","","","","","","","","","","","","CZE","DEN","Winner qualified for the World Cup.","UEFA play-off results","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_UEFA_second_round","","Final","2026-03-31","","","","","","","","","true","3-1","Czech Republic","Denmark","","","","","","Path D","CZE","Czech Republic","DEN","Denmark","2","2","true"
