"team_id","team_name","fifa_code","flag_code","confederation_id","fifa_rank","rank_snapshot_date","qualification_method","qualification_round","qualification_date","qualified_as","notes","source_name","source_url"
"caf_civ","Ivory Coast","CIV","CI","CAF","51","2023-06-30","direct_group_winner","Group F winners","2025-10-14","Group F winners","4th World Cup appearance including 2026.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_cod","DR Congo","COD","CD","CAF","69","2023-06-30","inter_confederation_playoff_winner","Inter-confederation play-offs Pathway 1 winners","2026-03-31","Inter-confederation play-offs Pathway 1 winners","2nd World Cup appearance including 2026; previously appeared as Zaire in 1974.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"CAN","Canada","CAN","CA","CONCACAF","48","2023-12-21","Host nation","Host Qualification","2023-02-14","host","","FIFA / Reuters / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONCACAF)"
"MEX","Mexico","MEX","MX","CONCACAF","15","2023-12-21","Host nation","Host Qualification","2023-02-14","host","","FIFA / Reuters / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONCACAF)"
"USA","United States","USA","US","CONCACAF","12","2023-12-21","Host nation","Host Qualification","2023-02-14","host","","FIFA / Reuters / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONCACAF)"
"PAN","Panama","PAN","PA","CONCACAF","41","2023-12-21","CONCACAF Third Round Group A winner","Third Round","2025-11-18","direct","","FIFA / Reuters / Wikipedia","https://www.reuters.com/sports/soccer/curacao-haiti-panama-qualify-world-cup-2025-11-19/"
"CUW","Curaçao","CUW","CW","CONCACAF","90","2023-12-21","CONCACAF Third Round Group B winner","Third Round","2025-11-18","direct","","FIFA / Reuters / Wikipedia","https://www.reuters.com/sports/soccer/curacao-haiti-panama-qualify-world-cup-2025-11-19/"
"HAI","Haiti","HAI","HT","CONCACAF","89","2023-12-21","CONCACAF Third Round Group C winner","Third Round","2025-11-18","direct","","FIFA / Reuters / Wikipedia","https://www.reuters.com/sports/soccer/curacao-haiti-panama-qualify-world-cup-2025-11-19/"
"ARG","Argentina","ARG","AR","CONMEBOL","1","2023-07-20","CONMEBOL winners","CONMEBOL League Table","2025-03-25","CONMEBOL winners","Finished 1 in the 10-team CONMEBOL table with 38 points.","Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)"
"ECU","Ecuador","ECU","EC","CONMEBOL","40","2023-07-20","CONMEBOL runners-up","CONMEBOL League Table","2025-06-10","CONMEBOL runners-up","Finished 2 in the 10-team CONMEBOL table with 29 points.","Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)"
"COL","Colombia","COL","CO","CONMEBOL","17","2023-07-20","CONMEBOL third place","CONMEBOL League Table","2025-09-04","CONMEBOL third place","Finished 3 in the 10-team CONMEBOL table with 28 points.","Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)"
"URU","Uruguay","URU","UY","CONMEBOL","16","2023-07-20","CONMEBOL fourth place","CONMEBOL League Table","2025-09-04","CONMEBOL fourth place","Finished 4 in the 10-team CONMEBOL table with 28 points.","Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)"
"BRA","Brazil","BRA","BR","CONMEBOL","3","2023-07-20","CONMEBOL fifth place","CONMEBOL League Table","2025-06-10","CONMEBOL fifth place","Finished 5 in the 10-team CONMEBOL table with 28 points.","Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)"
"PAR","Paraguay","PAR","PY","CONMEBOL","49","2023-07-20","CONMEBOL sixth place","CONMEBOL League Table","2025-09-04","CONMEBOL sixth place","Finished 6 in the 10-team CONMEBOL table with 28 points.","Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)"
"ofc_nzl","New Zealand","NZL","NZ","OFC","94","2024-07-18","OFC Third Round winner","Third Round final","2025-03-24","OFC direct qualifier","Beat New Caledonia 3-0 in the OFC final at Eden Park, Auckland.","OFC Round Three","https://www.oceaniafootball.com/fifa-world-cup-26-oceania-qualifiers-round-three/"
"GER","Germany","GER","DE","UEFA","10","2024-11-28","UEFA Group A winner","First Round - Group Stage","2025-11-17","Group winner","Germany qualified through UEFA Group A winner.","UEFA qualified teams article / Wikipedia qualification page","https://www.uefa.com/european-qualifiers/news/029f-1f318027c4dd-8e9bab478b48-1000--world-cup-2026-which-european-teams-have-qualified/"
"SUI","Switzerland","SUI","CH","UEFA","20","2024-11-28","UEFA Group B winner","First Round - Group Stage","2025-11-18","Group winner","Switzerland qualified through UEFA Group B winner.","UEFA qualified teams article / Wikipedia qualification page","https://www.uefa.com/european-qualifiers/news/029f-1f318027c4dd-8e9bab478b48-1000--world-cup-2026-which-european-teams-have-qualified/"
"SCO","Scotland","SCO","GB-SCT","UEFA","45","2024-11-28","UEFA Group C winner","First Round - Group Stage","2025-11-18","Group winner","Scotland qualified through UEFA Group C winner.","UEFA qualified teams article / Wikipedia qualification page","https://www.uefa.com/european-qualifiers/news/029f-1f318027c4dd-8e9bab478b48-1000--world-cup-2026-which-european-teams-have-qualified/"
"FRA","France","FRA","FR","UEFA","2","2024-11-28","UEFA Group D winner","First Round - Group Stage","2025-11-13","Group winner","France qualified through UEFA Group D winner.","UEFA qualified teams article / Wikipedia qualification page","https://www.uefa.com/european-qualifiers/news/029f-1f318027c4dd-8e9bab478b48-1000--world-cup-2026-which-european-teams-have-qualified/"
"ESP","Spain","ESP","ES","UEFA","3","2024-11-28","UEFA Group E winner","First Round - Group Stage","2025-11-18","Group winner","Spain qualified through UEFA Group E winner.","UEFA qualified teams article / Wikipedia qualification page","https://www.uefa.com/european-qualifiers/news/029f-1f318027c4dd-8e9bab478b48-1000--world-cup-2026-which-european-teams-have-qualified/"
"POR","Portugal","POR","PT","UEFA","6","2024-11-28","UEFA Group F winner","First Round - Group Stage","2025-11-16","Group winner","Portugal qualified through UEFA Group F winner.","UEFA qualified teams article / Wikipedia qualification page","https://www.uefa.com/european-qualifiers/news/029f-1f318027c4dd-8e9bab478b48-1000--world-cup-2026-which-european-teams-have-qualified/"
"NED","Netherlands","NED","NL","UEFA","7","2024-11-28","UEFA Group G winner","First Round - Group Stage","2025-11-17","Group winner","Netherlands qualified through UEFA Group G winner.","UEFA qualified teams article / Wikipedia qualification page","https://www.uefa.com/european-qualifiers/news/029f-1f318027c4dd-8e9bab478b48-1000--world-cup-2026-which-european-teams-have-qualified/"
"AUT","Austria","AUT","AT","UEFA","22","2024-11-28","UEFA Group H winner","First Round - Group Stage","2025-11-18","Group winner","Austria qualified through UEFA Group H winner.","UEFA qualified teams article / Wikipedia qualification page","https://www.uefa.com/european-qualifiers/news/029f-1f318027c4dd-8e9bab478b48-1000--world-cup-2026-which-european-teams-have-qualified/"
"NOR","Norway","NOR","NO","UEFA","43","2024-11-28","UEFA Group I winner","First Round - Group Stage","2025-11-16","Group winner","Norway qualified through UEFA Group I winner.","UEFA qualified teams article / Wikipedia qualification page","https://www.uefa.com/european-qualifiers/news/029f-1f318027c4dd-8e9bab478b48-1000--world-cup-2026-which-european-teams-have-qualified/"
"BEL","Belgium","BEL","BE","UEFA","8","2024-11-28","UEFA Group J winner","First Round - Group Stage","2025-11-18","Group winner","Belgium qualified through UEFA Group J winner.","UEFA qualified teams article / Wikipedia qualification page","https://www.uefa.com/european-qualifiers/news/029f-1f318027c4dd-8e9bab478b48-1000--world-cup-2026-which-european-teams-have-qualified/"
"ENG","England","ENG","GB-ENG","UEFA","4","2024-11-28","UEFA Group K winner","First Round - Group Stage","2025-10-14","Group winner","England qualified through UEFA Group K winner.","UEFA qualified teams article / Wikipedia qualification page","https://www.uefa.com/european-qualifiers/news/029f-1f318027c4dd-8e9bab478b48-1000--world-cup-2026-which-european-teams-have-qualified/"
"CRO","Croatia","CRO","HR","UEFA","13","2024-11-28","UEFA Group L winner","First Round - Group Stage","2025-11-14","Group winner","Croatia qualified through UEFA Group L winner.","UEFA qualified teams article / Wikipedia qualification page","https://www.uefa.com/european-qualifiers/news/029f-1f318027c4dd-8e9bab478b48-1000--world-cup-2026-which-european-teams-have-qualified/"
"BIH","Bosnia and Herzegovina","BIH","BA","UEFA","74","2024-11-28","UEFA play-offs Path A winner","Second Round - UEFA Play-offs","2026-03-31","Play-off path winner","Bosnia and Herzegovina qualified through UEFA play-offs Path A winner.","UEFA qualified teams article / Wikipedia qualification page","https://www.uefa.com/european-qualifiers/news/029f-1f318027c4dd-8e9bab478b48-1000--world-cup-2026-which-european-teams-have-qualified/"
"SWE","Sweden","SWE","SE","UEFA","27","2024-11-28","UEFA play-offs Path B winner","Second Round - UEFA Play-offs","2026-03-31","Play-off path winner","Sweden qualified through UEFA play-offs Path B winner.","UEFA qualified teams article / Wikipedia qualification page","https://www.uefa.com/european-qualifiers/news/029f-1f318027c4dd-8e9bab478b48-1000--world-cup-2026-which-european-teams-have-qualified/"
"TUR","Turkey","TUR","TR","UEFA","28","2024-11-28","UEFA play-offs Path C winner","Second Round - UEFA Play-offs","2026-03-31","Play-off path winner","Turkey qualified through UEFA play-offs Path C winner.","UEFA qualified teams article / Wikipedia qualification page","https://www.uefa.com/european-qualifiers/news/029f-1f318027c4dd-8e9bab478b48-1000--world-cup-2026-which-european-teams-have-qualified/"
"CZE","Czech Republic","CZE","CZ","UEFA","42","2024-11-28","UEFA play-offs Path D winner","Second Round - UEFA Play-offs","2026-03-31","Play-off path winner","Czech Republic qualified through UEFA play-offs Path D winner.","UEFA qualified teams article / Wikipedia qualification page","https://www.uefa.com/european-qualifiers/news/029f-1f318027c4dd-8e9bab478b48-1000--world-cup-2026-which-european-teams-have-qualified/"
