id,team_name,ranking_date,rank,points,previous_rank,source,notes,is_world_cup_team,created_at
47,Scotland,2026-04-01,43,,,manual,,1,2026-05-12 02:17:25
48,Tunisia,2026-04-01,44,,,manual,,1,2026-05-12 02:17:25
49,Cameroon,2026-04-01,45,,,manual,,0,2026-05-12 02:17:25
50,Congo DR,2026-04-01,46,,,manual,,1,2026-05-12 02:17:25
51,Greece,2026-04-01,47,,,manual,,0,2026-05-12 02:17:25
52,Slovakia,2026-04-01,48,,,manual,,0,2026-05-12 02:17:25
53,Venezuela,2026-04-01,49,,,manual,,0,2026-05-12 02:17:25
54,Uzbekistan,2026-04-01,50,,,manual,,1,2026-05-12 02:17:25
55,Costa Rica,2026-04-01,51,,,manual,,0,2026-05-12 02:17:25
56,Mali,2026-04-01,52,,,manual,,0,2026-05-12 02:17:25
57,Peru,2026-04-01,53,,,manual,,0,2026-05-12 02:17:25
58,Chile,2026-04-01,54,,,manual,,0,2026-05-12 02:17:25
59,Qatar,2026-04-01,55,,,manual,,1,2026-05-12 02:17:25
60,Romania,2026-04-01,56,,,manual,,0,2026-05-12 02:17:25
61,Iraq,2026-04-01,57,,,manual,,1,2026-05-12 02:17:25
62,Slovenia,2026-04-01,58,,,manual,,0,2026-05-12 02:17:25
63,Republic of Ireland,2026-04-01,59,,,manual,,0,2026-05-12 02:17:25
64,South Africa,2026-04-01,60,,,manual,,1,2026-05-12 02:17:25
65,Saudi Arabia,2026-04-01,61,,,manual,,1,2026-05-12 02:17:25
66,Burkina Faso,2026-04-01,62,,,manual,,0,2026-05-12 02:17:25
67,Jordan,2026-04-01,63,,,manual,,1,2026-05-12 02:17:25
68,Albania,2026-04-01,64,,,manual,,0,2026-05-12 02:17:25
69,Bosnia and Herzegovina,2026-04-01,65,,,manual,,1,2026-05-12 02:17:25
70,Honduras,2026-04-01,66,,,manual,,0,2026-05-12 02:17:25
71,North Macedonia,2026-04-01,67,,,manual,,0,2026-05-12 02:17:25
72,United Arab Emirates,2026-04-01,68,,,manual,,0,2026-05-12 02:17:25
73,Cabo Verde,2026-04-01,69,,,manual,,1,2026-05-12 02:17:25
74,Northern Ireland,2026-04-01,70,,,manual,,0,2026-05-12 02:17:25
75,Jamaica,2026-04-01,71,,,manual,,0,2026-05-12 02:17:25
76,Georgia,2026-04-01,72,,,manual,,0,2026-05-12 02:17:25
77,Finland,2026-04-01,73,,,manual,,0,2026-05-12 02:17:25
78,Ghana,2026-04-01,74,,,manual,,1,2026-05-12 02:17:25
79,Iceland,2026-04-01,75,,,manual,,0,2026-05-12 02:17:25
80,Bolivia,2026-04-01,76,,,manual,,0,2026-05-12 02:17:25
81,Israel,2026-04-01,77,,,manual,,0,2026-05-12 02:17:25
82,Kosovo,2026-04-01,78,,,manual,,0,2026-05-12 02:17:25
83,Oman,2026-04-01,79,,,manual,,0,2026-05-12 02:17:25
84,Guinea,2026-04-01,80,,,manual,,0,2026-05-12 02:17:25
85,Montenegro,2026-04-01,81,,,manual,,0,2026-05-12 02:17:25
86,Curaçao,2026-04-01,82,,,manual,,1,2026-05-12 02:17:25
87,Haiti,2026-04-01,83,,,manual,,1,2026-05-12 02:17:25
88,Syria,2026-04-01,84,,,manual,,0,2026-05-12 02:17:25
89,New Zealand,2026-04-01,85,,,manual,,1,2026-05-12 02:17:25
90,Bulgaria,2026-04-01,86,,,manual,,0,2026-05-12 02:17:25
91,Gabon,2026-04-01,87,,,manual,,0,2026-05-12 02:17:25
92,Uganda,2026-04-01,88,,,manual,,0,2026-05-12 02:17:25
93,Angola,2026-04-01,89,,,manual,,0,2026-05-12 02:17:25
94,Benin,2026-04-01,90,,,manual,,0,2026-05-12 02:17:25
95,Bahrain,2026-04-01,91,,,manual,,0,2026-05-12 02:17:25
96,Zambia,2026-04-01,92,,,manual,,0,2026-05-12 02:17:25
97,Thailand,2026-04-01,93,,,manual,,0,2026-05-12 02:17:25
98,China PR,2026-04-01,94,,,manual,,0,2026-05-12 02:17:25
99,Palestine,2026-04-01,95,,,manual,,0,2026-05-12 02:17:25
100,Guatemala,2026-04-01,96,,,manual,,0,2026-05-12 02:17:25
101,Belarus,2026-04-01,97,,,manual,,0,2026-05-12 02:17:25
102,Luxembourg,2026-04-01,98,,,manual,,0,2026-05-12 02:17:25
103,Vietnam,2026-04-01,99,,,manual,,0,2026-05-12 02:17:25
104,El Salvador,2026-04-01,100,,,manual,,0,2026-05-12 02:17:25
105,Mozambique,2026-04-01,101,,,manual,,0,2026-05-12 02:17:25
106,Trinidad and Tobago,2026-04-01,102,,,manual,,0,2026-05-12 02:17:25
107,Tajikistan,2026-04-01,103,,,manual,,0,2026-05-12 02:17:25
108,Madagascar,2026-04-01,104,,,manual,,0,2026-05-12 02:17:25
109,Equatorial Guinea,2026-04-01,105,,,manual,,0,2026-05-12 02:17:25
110,Armenia,2026-04-01,106,,,manual,,0,2026-05-12 02:17:25
111,Kyrgyz Republic,2026-04-01,107,,,manual,,0,2026-05-12 02:17:25
112,Lebanon,2026-04-01,108,,,manual,,0,2026-05-12 02:17:25
113,Comoros,2026-04-01,109,,,manual,,0,2026-05-12 02:17:25
114,Kazakhstan,2026-04-01,110,,,manual,,0,2026-05-12 02:17:25
115,Kenya,2026-04-01,111,,,manual,,0,2026-05-12 02:17:25
116,Libya,2026-04-01,112,,,manual,,0,2026-05-12 02:17:25
117,Tanzania,2026-04-01,113,,,manual,,0,2026-05-12 02:17:25
118,Niger,2026-04-01,114,,,manual,,0,2026-05-12 02:17:25
119,Mauritania,2026-04-01,115,,,manual,,0,2026-05-12 02:17:25
120,The Gambia,2026-04-01,116,,,manual,,0,2026-05-12 02:17:25
121,Sudan,2026-04-01,117,,,manual,,0,2026-05-12 02:17:25
122,Korea DPR,2026-04-01,118,,,manual,,0,2026-05-12 02:17:25
123,Sierra Leone,2026-04-01,119,,,manual,,0,2026-05-12 02:17:25
124,Namibia,2026-04-01,120,,,manual,,0,2026-05-12 02:17:25
125,Togo,2026-04-01,121,,,manual,,0,2026-05-12 02:17:25
126,Indonesia,2026-04-01,122,,,manual,,0,2026-05-12 02:17:25
127,Faroe Islands,2026-04-01,123,,,manual,,0,2026-05-12 02:17:25
128,Azerbaijan,2026-04-01,124,,,manual,,0,2026-05-12 02:17:25
129,Suriname,2026-04-01,125,,,manual,,0,2026-05-12 02:17:25
130,Cyprus,2026-04-01,126,,,manual,,0,2026-05-12 02:17:25
131,Malawi,2026-04-01,127,,,manual,,0,2026-05-12 02:17:25
132,Rwanda,2026-04-01,128,,,manual,,0,2026-05-12 02:17:25
133,Estonia,2026-04-01,129,,,manual,,0,2026-05-12 02:17:25
134,Zimbabwe,2026-04-01,130,,,manual,,0,2026-05-12 02:17:25
135,Nicaragua,2026-04-01,131,,,manual,,0,2026-05-12 02:17:25
136,Guinea-Bissau,2026-04-01,132,,,manual,,0,2026-05-12 02:17:25
137,Congo,2026-04-01,133,,,manual,,0,2026-05-12 02:17:25
138,Kuwait,2026-04-01,134,,,manual,,0,2026-05-12 02:17:25
139,Philippines,2026-04-01,135,,,manual,,0,2026-05-12 02:17:25
140,India,2026-04-01,136,,,manual,,0,2026-05-12 02:17:25
141,Latvia,2026-04-01,137,,,manual,,0,2026-05-12 02:17:25
142,Malaysia,2026-04-01,138,,,manual,,0,2026-05-12 02:17:25
143,Central African Republic,2026-04-01,139,,,manual,,0,2026-05-12 02:17:25
144,Liberia,2026-04-01,140,,,manual,,0,2026-05-12 02:17:25
145,Turkmenistan,2026-04-01,141,,,manual,,0,2026-05-12 02:17:25
146,Burundi,2026-04-01,142,,,manual,,0,2026-05-12 02:17:25
147,Dominican Republic,2026-04-01,143,,,manual,,0,2026-05-12 02:17:25
148,Ethiopia,2026-04-01,144,,,manual,,0,2026-05-12 02:17:25
149,Lesotho,2026-04-01,145,,,manual,,0,2026-05-12 02:17:25
150,Botswana,2026-04-01,146,,,manual,,0,2026-05-12 02:17:25
151,Singapore,2026-04-01,147,,,manual,,0,2026-05-12 02:17:25
152,Lithuania,2026-04-01,148,,,manual,,0,2026-05-12 02:17:25
153,Yemen,2026-04-01,149,,,manual,,0,2026-05-12 02:17:25
154,Guyana,2026-04-01,150,,,manual,,0,2026-05-12 02:17:25
155,New Caledonia,2026-04-01,151,,,manual,,0,2026-05-12 02:17:25
156,St Kitts and Nevis,2026-04-01,152,,,manual,,0,2026-05-12 02:17:25
157,Solomon Islands,2026-04-01,153,,,manual,,0,2026-05-12 02:17:25
158,Fiji,2026-04-01,154,,,manual,,0,2026-05-12 02:17:25
159,"Hong Kong, China",2026-04-01,155,,,manual,,0,2026-05-12 02:17:25
160,Puerto Rico,2026-04-01,156,,,manual,,0,2026-05-12 02:17:25
161,Tahiti,2026-04-01,157,,,manual,,0,2026-05-12 02:17:25
162,Myanmar,2026-04-01,158,,,manual,,0,2026-05-12 02:17:25
163,Moldova,2026-04-01,159,,,manual,,0,2026-05-12 02:17:25
164,Vanuatu,2026-04-01,160,,,manual,,0,2026-05-12 02:17:25
165,Malta,2026-04-01,161,,,manual,,0,2026-05-12 02:17:25
166,Antigua and Barbuda,2026-04-01,162,,,manual,,0,2026-05-12 02:17:25
167,Grenada,2026-04-01,163,,,manual,,0,2026-05-12 02:17:25
168,Cuba,2026-04-01,164,,,manual,,0,2026-05-12 02:17:25
169,Eswatini,2026-04-01,165,,,manual,,0,2026-05-12 02:17:25
170,Bermuda,2026-04-01,166,,,manual,,0,2026-05-12 02:17:25
171,St Lucia,2026-04-01,167,,,manual,,0,2026-05-12 02:17:25
172,Papua New Guinea,2026-04-01,168,,,manual,,0,2026-05-12 02:17:25
173,Afghanistan,2026-04-01,169,,,manual,,0,2026-05-12 02:17:25
174,South Sudan,2026-04-01,170,,,manual,,0,2026-05-12 02:17:25
175,St Vincent and the Grenadines,2026-04-01,171,,,manual,,0,2026-05-12 02:17:25
176,Maldives,2026-04-01,172,,,manual,,0,2026-05-12 02:17:25
177,Andorra,2026-04-01,173,,,manual,,0,2026-05-12 02:17:25
178,Chinese Taipei,2026-04-01,174,,,manual,,0,2026-05-12 02:17:25
179,Montserrat,2026-04-01,175,,,manual,,0,2026-05-12 02:17:25
180,Nepal,2026-04-01,176,,,manual,,0,2026-05-12 02:17:25
181,Cambodia,2026-04-01,177,,,manual,,0,2026-05-12 02:17:25
182,Mauritius,2026-04-01,178,,,manual,,0,2026-05-12 02:17:25
183,Barbados,2026-04-01,179,,,manual,,0,2026-05-12 02:17:25
184,Belize,2026-04-01,180,,,manual,,0,2026-05-12 02:17:25
185,Bangladesh,2026-04-01,181,,,manual,,0,2026-05-12 02:17:25
186,Dominica,2026-04-01,182,,,manual,,0,2026-05-12 02:17:25
187,Chad,2026-04-01,183,,,manual,,0,2026-05-12 02:17:25
188,Eritrea,2026-04-01,184,,,manual,,0,2026-05-12 02:17:25
189,Laos,2026-04-01,185,,,manual,,0,2026-05-12 02:17:25
190,Bhutan,2026-04-01,186,,,manual,,0,2026-05-12 02:17:25
191,Mongolia,2026-04-01,187,,,manual,,0,2026-05-12 02:17:25
192,Cook Islands,2026-04-01,188,,,manual,,0,2026-05-12 02:17:25
193,Aruba,2026-04-01,189,,,manual,,0,2026-05-12 02:17:25
194,Samoa,2026-04-01,190,,,manual,,0,2026-05-12 02:17:25
195,Sri Lanka,2026-04-01,191,,,manual,,0,2026-05-12 02:17:25
196,American Samoa,2026-04-01,192,,,manual,,0,2026-05-12 02:17:25
197,Brunei Darussalam,2026-04-01,193,,,manual,,0,2026-05-12 02:17:25
198,Macau,2026-04-01,194,,,manual,,0,2026-05-12 02:17:25
199,Cayman Islands,2026-04-01,195,,,manual,,0,2026-05-12 02:17:25
200,São Tomé and Príncipe,2026-04-01,196,,,manual,,0,2026-05-12 02:17:25
201,Djibouti,2026-04-01,197,,,manual,,0,2026-05-12 02:17:25
202,Somalia,2026-04-01,198,,,manual,,0,2026-05-12 02:17:25
203,Tonga,2026-04-01,199,,,manual,,0,2026-05-12 02:17:25
204,Timor-Leste,2026-04-01,200,,,manual,,0,2026-05-12 02:17:25
205,Guam,2026-04-01,201,,,manual,,0,2026-05-12 02:17:25
206,Pakistan,2026-04-01,202,,,manual,,0,2026-05-12 02:17:25
207,Gibraltar,2026-04-01,203,,,manual,,0,2026-05-12 02:17:25
208,Seychelles,2026-04-01,204,,,manual,,0,2026-05-12 02:17:25
209,Turks and Caicos Islands,2026-04-01,205,,,manual,,0,2026-05-12 02:17:25
210,Liechtenstein,2026-04-01,206,,,manual,,0,2026-05-12 02:17:25
211,Bahamas,2026-04-01,207,,,manual,,0,2026-05-12 02:17:25
212,British Virgin Islands,2026-04-01,208,,,manual,,0,2026-05-12 02:17:25
213,US Virgin Islands,2026-04-01,209,,,manual,,0,2026-05-12 02:17:25
214,Anguilla,2026-04-01,210,,,manual,,0,2026-05-12 02:17:25
215,San Marino,2026-04-01,211,,,manual,,0,2026-05-12 02:17:25
240,South Korea,2026-04-01,25,,,manual,,1,2026-05-12 02:32:30
638,USA,2026-01-01,15,1678.0,16.0,manual,,1,2026-05-12 02:39:32
639,Mexico,2026-01-01,14,1680.0,15.0,manual,,1,2026-05-12 02:39:32
640,Canada,2026-01-01,31,1516.0,32.0,manual,,1,2026-05-12 02:39:32
